region,symbol,size_bytes,section,source,address_hex
RAM_D1,(anonymous),4,.data.FS_Desc,./Src/Audio/audio_float.o,0x24000100
RAM_D1,(anonymous),4,.data.FS_Desc,./Src/Audio/audio_float.o,0x24000104
RAM_D1,(anonymous),4,.data.FS_Desc,./Src/Audio/monob_synth.o,0x24000108
RAM_D1,(anonymous),4,.data.FS_Desc,./Src/Core/engine_tasklet.o,0x24000114
RAM_D1,(anonymous),4,.data.FS_Desc,./Src/MIDI/midi.o,0x2400032C
RAM_D1,(anonymous),4,.data.FS_Desc,./Src/MIDI/midi.o,0x24000330
RAM_D1,(anonymous),4,.data.FS_Desc,./Src/MIDI/midi.o,0x24000334
RAM_D1,SystemD2Clock,4,.data.Stat,./Src/system_stm32h7xx.o,0x24000548
RAM_D1,SystemCoreClock,4,.data.Stat,./Src/system_stm32h7xx.o,0x2400054C
RAM_D1,_impure_ptr,4,.data.__sglue,C:/ST/STM32CubeIDE_2.0.0/STM32CubeIDE/plugins/com.st.stm32cube.ide.mcu.externaltools.gnu-tools-for-stm32.13.3.rel1.win32_1.0.100.202509120712/tools/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v7e-m+dp/hard\libc_nano.a(libc_a-impure.o),0x2400055C
RAM_D1,__atexit_recursive_mutex,4,.data.__sglue,C:/ST/STM32CubeIDE_2.0.0/STM32CubeIDE/plugins/com.st.stm32cube.ide.mcu.externaltools.gnu-tools-for-stm32.13.3.rel1.win32_1.0.100.202509120712/tools/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v7e-m+dp/hard\libc_nano.a(libc_a-__call_atexit.o),0x240005AC
RAM_D1,(anonymous),4,.bss.FatFs,./App/Middlewares/Third_Party/FatFs/src/ff.o,0x24000804
RAM_D1,(anonymous),4,.bss.g_u8g2,./Drivers/Drv_app/Src/encoders_hw.o,0x24001BC0
RAM_D1,(anonymous),4,.bss.g_u8g2,./Drivers/Drv_app/Src/encoders_hw.o,0x24001BC4
RAM_D1,uwTick,4,.bss.uwTick,./Drivers/STM32H7xx_HAL_Driver/Src/stm32h7xx_hal.o,0x24001E50
RAM_D1,Lfo::unit_,4,.bss.pFlash,./Micro_Dexed/lfo.o,0x24001E70
RAM_D1,PitchEnv::unit_,4,.bss.pFlash,./Micro_Dexed/pitchenv.o,0x24001E74
RAM_D1,(anonymous),4,.bss.pFlash,./Src/App/Hall/hall_adc.o,0x24001E80
RAM_D1,(anonymous),4,.bss.pFlash,./Src/App/Hall/hall_adc.o,0x24001E84
RAM_D1,(anonymous),4,.bss.pFlash,./Src/App/Hall/hall_adc.o,0x24001E88
RAM_D1,(anonymous),4,.bss.pFlash,./Src/App/Hall/hall_adc.o,0x24001E8C
RAM_D1,(anonymous),4,.bss.hall_min,./Src/App/mux_pots.o,0x24007458
RAM_D1,(anonymous),4,.bss.sai_rx,./Src/Audio/audio.o,0x2400746C
RAM_D1,(anonymous),4,.bss.sai_tx,./Src/Audio/audio.o,0x24007470
RAM_D1,g_audio_dsp_frames_counter,4,.bss.sai_tx,./Src/Audio/audio_float.o,0x24007474
RAM_D1,g_audio_block_counter,4,.bss.sai_tx,./Src/Audio/audio_float.o,0x24007478
RAM_D1,(anonymous),4,.bss.s_cb,./Src/Audio/dsp_engine.o,0x2400747C
RAM_D1,(anonymous),4,.bss.s_cb,./Src/Audio/fx_daisy_comp.o,0x2400B538
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Audio/tb3_synth.o,0x2400F1A8
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/brick6_audio_runtime.o,0x2400F5D4
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F5DC
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F5E0
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F604
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F608
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F60C
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F610
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F614
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F618
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F61C
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F620
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F624
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F628
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F62C
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F630
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F634
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/engine_tasklet.o,0x2400F638
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Core/engine_tasklet.o,0x2400F63C
RAM_D1,engine_tick_count,4,.bss.g_rec,./Src/Core/engine_tasklet.o,0x2400F640
RAM_D1,g_track_runtime_tb3_bind_instance,4,.bss.g_rec,./Src/Core/track_runtime.o,0x2400F644
RAM_D1,g_track_runtime_tb3_bind_track,4,.bss.g_rec,./Src/Core/track_runtime.o,0x2400F648
RAM_D1,g_track_runtime_tb3_bind_seen,4,.bss.g_rec,./Src/Core/track_runtime.o,0x2400F64C
RAM_D1,(anonymous),4,.bss.g_rec,./Src/MIDI/midi.o,0x2400FF34
RAM_D1,(anonymous),4,.bss.g_rec,./Src/MIDI/midi.o,0x2400FF38
RAM_D1,(anonymous),4,.bss.g_rec,./Src/MIDI/midi.o,0x2400FF68
RAM_D1,(anonymous),4,.bss.g_rec,./Src/MIDI/midi.o,0x2400FF6C
RAM_D1,(anonymous),4,.bss.g_rec,./Src/MIDI/midi.o,0x2400FF70
RAM_D1,(anonymous),4,.bss.g_rec,./Src/MIDI/midi.o,0x2400FF74
RAM_D1,midi_usb_rx_drops,4,.bss.g_rec,./Src/MIDI/midi.o,0x2400FF7C
RAM_D1,(anonymous),4,.bss.g_rec,./Src/MIDI/midi_host.o,0x2400FFAC
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Param/control_events.o,0x240102A0
RAM_D1,(anonymous),4,.bss.g_rec,./Src/Param/control_events.o,0x240102A4
RAM_D1,g_param_cfg_track_type_apply_stage,4,.bss.g_evt_q,./Src/Param/param_registry.o,0x240104A8
RAM_D1,g_param_tb3_apply_last_id,4,.bss.g_evt_q,./Src/Param/param_registry.o,0x240104AC
RAM_D1,g_param_tb3_apply_seen,4,.bss.g_evt_q,./Src/Param/param_registry.o,0x240104B0
RAM_D1,SDPath,4,.bss.SDPath,./Src/SD/fatfs.o,0x24010BB8
RAM_D1,(anonymous),4,.bss.retSD,./Src/SD/sd_diskio.o,0x24010BC0
RAM_D1,(anonymous),4,.bss.retSD,./Src/SD/sd_diskio.o,0x24010BC4
RAM_D1,(anonymous),4,.bss.retSD,./Src/Sampler/voice_manager.o,0x24010E04
RAM_D1,(anonymous),4,.bss.retSD,./Src/Sampler/voice_manager.o,0x24010E08
RAM_D1,(anonymous),4,.bss.voices,./Src/Seq/seq_runtime.o,0x24011760
RAM_D1,(anonymous),4,.bss.voices,./Src/UI/display_flush_service.o,0x24011764
RAM_D1,g_ui_tb3_cfg_sync_seen,4,.bss.label.0,./Src/UI/ui_core.o,0x24011770
RAM_D1,g_ui_tb3_type_switch_type,4,.bss.label.0,./Src/UI/ui_core.o,0x24011774
RAM_D1,g_ui_tb3_type_switch_track,4,.bss.label.0,./Src/UI/ui_core.o,0x24011778
RAM_D1,g_ui_tb3_type_switch_stage,4,.bss.label.0,./Src/UI/ui_core.o,0x2401177C
RAM_D1,(anonymous),4,.bss.label.0,./Src/UI/ui_renderer_oled.o,0x24011858
RAM_D1,(anonymous),4,.bss.label.0,./Src/UI/pages/ui_page_calibration.o,0x24011BA8
RAM_D1,(anonymous),4,.bss.label.0,./Src/UI/pages/ui_page_calibration.o,0x24011BB0
RAM_D1,(anonymous),4,.bss.label.0,./Src/adc.o,0x24011BB8
RAM_D1,(anonymous),4,.bss.hadc1,./Src/fmc.o,0x24011DD8
RAM_D1,(anonymous),4,.bss.hi2c2,./Src/sai.o,0x24011E6C
RAM_D1,(anonymous),4,.bss.hspi5,./Src/sysmem.o,0x24012198
RAM_D1,__malloc_sbrk_start,4,.bss.huart1,C:/ST/STM32CubeIDE_2.0.0/STM32CubeIDE/plugins/com.st.stm32cube.ide.mcu.externaltools.gnu-tools-for-stm32.13.3.rel1.win32_1.0.100.202509120712/tools/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v7e-m+dp/hard\libc_nano.a(libc_a-mallocr.o),0x24012434
RAM_D1,__malloc_free_list,4,.bss.huart1,C:/ST/STM32CubeIDE_2.0.0/STM32CubeIDE/plugins/com.st.stm32cube.ide.mcu.externaltools.gnu-tools-for-stm32.13.3.rel1.win32_1.0.100.202509120712/tools/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v7e-m+dp/hard\libc_nano.a(libc_a-mallocr.o),0x24012438
